text,name,ratings,no_of_ratings,discount_price,actual_price,category_source
Joker & Witch Hailey White Marble Dial Watch stores Amazon Fashion,Joker & Witch Hailey White Marble Dial Watch,4.3,12,₹799,"₹3,199",Amazon Fashion.csv
"Puma Unisex-Adult Phase Wallet, Black, X (7561701) stores Amazon Fashion","Puma Unisex-Adult Phase Wallet, Black, X (7561701)",4.6,"6,791",₹359,₹599,Amazon Fashion.csv
Xs and Os Women's Lace Garter Belt and Sheer Stockings Lingerie Set with panty stores Amazon Fashion,Xs and Os Women's Lace Garter Belt and Sheer Stockings Lingerie Set with panty,3.6,589,₹399,₹796,Amazon Fashion.csv
Kostech Derma Roller with 540 Titanium Micro Needle - Dermaroller 0.5mm stores Amazon Fashion,Kostech Derma Roller with 540 Titanium Micro Needle - Dermaroller 0.5mm,3.9,"1,281",₹195,₹399,Amazon Fashion.csv
"Priyaasi Gold Plated with American Diamond Nose Pin with Piercing - Moon Design Nose Ring for Women, Girls stores Amazon Fashion","Priyaasi Gold Plated with American Diamond Nose Pin with Piercing - Moon Design Nose Ring for Women, Girls",4.1,14,₹289,"₹1,000",Amazon Fashion.csv
PROBEROS® Crossbody Bagpack Sling Bag for Men Women Shoulder Bag One Shoulder Bag with Cable Vent Adjustable Strap for Com... stores Amazon Fashion,PROBEROS® Crossbody Bagpack Sling Bag for Men Women Shoulder Bag One Shoulder Bag with Cable Vent Adjustable Strap for Com...,4.1,54,₹895,"₹1,122",Amazon Fashion.csv
"RANGER Sport Socks for Men Heavy Duty Cotton Crew Thick Winter Socks, Pack of 3 (Multi-coloured) stores Amazon Fashion","RANGER Sport Socks for Men Heavy Duty Cotton Crew Thick Winter Socks, Pack of 3 (Multi-coloured)",4.2,"3,703",₹261,₹499,Amazon Fashion.csv
Ebee 3 Shelves Kitchen Metal Cabinet - White stores Amazon Fashion,Ebee 3 Shelves Kitchen Metal Cabinet - White,3.5,"8,440",₹679,"₹1,299",Amazon Fashion.csv
"American Tourister Quad+ Polyester Mens Backpack(MULTI, FREE SIZE) stores Amazon Fashion","American Tourister Quad+ Polyester Mens Backpack(MULTI, FREE SIZE)",4.0,1,"₹1,598","₹2,100",Amazon Fashion.csv
Goldenize fashion Analogue Black Dial with King Bracelet Birthday Gift Premium Wacht for Boys Men's & Boy's Combo Watches stores Amazon Fashion,Goldenize fashion Analogue Black Dial with King Bracelet Birthday Gift Premium Wacht for Boys Men's & Boy's Combo Watches,4.0,26,₹259,₹899,Amazon Fashion.csv
Via Mazzini Stainless Steel Crystal Belly Button Navel Ring For Women and Girls (BB0021) 1 Pc stores Amazon Fashion,Via Mazzini Stainless Steel Crystal Belly Button Navel Ring For Women and Girls (BB0021) 1 Pc,4.3,36,₹371,"₹1,125",Amazon Fashion.csv
IndiWeaves� Boys Snowfall Solid Regular Fit Full Sleeves T-Shirts {Pack of 4} stores Amazon Fashion,IndiWeaves� Boys Snowfall Solid Regular Fit Full Sleeves T-Shirts {Pack of 4},,,"₹1,238","₹1,293",Amazon Fashion.csv
Feel it Women's Fashion Sandal stores Amazon Fashion,Feel it Women's Fashion Sandal,4.0,836,₹569,₹999,Amazon Fashion.csv
"Nivia Plain Encounter Stockings (M, Royal Blue) - Polyester Blend, Knee Length, Unisex, Pack of 1 stores Amazon Fashion","Nivia Plain Encounter Stockings (M, Royal Blue) - Polyester Blend, Knee Length, Unisex, Pack of 1",4.0,739,₹145,₹149,Amazon Fashion.csv
"Sujata Chutney Steel Jar, 400 ml, (White), Stainless Steel stores Amazon Fashion","Sujata Chutney Steel Jar, 400 ml, (White), Stainless Steel",4.5,"2,397",₹709,₹747,Amazon Fashion.csv
Kamiliant by American Tourister KAM Kiza Polypropylene 68 cms Black Hardsided Check-in Luggage stores Amazon Fashion,Kamiliant by American Tourister KAM Kiza Polypropylene 68 cms Black Hardsided Check-in Luggage,4.2,"2,582","₹3,999","₹10,999",Amazon Fashion.csv
"ANNACREATIONS 1 Pcs Stylish Polyester Duffel Bag and 10 Pcs Hair Clips, 1 Pcs Watch Perfect Unicorn Combo Gift Set for Bab... stores Amazon Fashion","ANNACREATIONS 1 Pcs Stylish Polyester Duffel Bag and 10 Pcs Hair Clips, 1 Pcs Watch Perfect Unicorn Combo Gift Set for Bab...",4.0,5,₹379,₹999,Amazon Fashion.csv
Aglance TW-00030 LED Digiatl Smart Watch for Boys and Girls Black stores Amazon Fashion,Aglance TW-00030 LED Digiatl Smart Watch for Boys and Girls Black,2.4,26,₹199,₹599,Amazon Fashion.csv
Tip Ton Fashion Women's Hand Bag Shopper Bag stores Amazon Fashion,Tip Ton Fashion Women's Hand Bag Shopper Bag,3.1,16,₹299,₹999,Amazon Fashion.csv
Myynti Women's Cotton Ankle Length Socks Athletic Running Walking Fitness Outdoor Sports Breathable Multi-Design Multi-Col... stores Amazon Fashion,Myynti Women's Cotton Ankle Length Socks Athletic Running Walking Fitness Outdoor Sports Breathable Multi-Design Multi-Col...,3.7,149,₹290,₹699,Amazon Fashion.csv
"Amazon Brand - Solimo PVC Self-Adhesive WallPaper, Wood Design, 45 x 500 cm stores Amazon Fashion","Amazon Brand - Solimo PVC Self-Adhesive WallPaper, Wood Design, 45 x 500 cm",3.8,752,₹199,₹499,Amazon Fashion.csv
PUMA Puma Black Travel Bottle (5381301) stores Amazon Fashion,PUMA Puma Black Travel Bottle (5381301),3.7,75,₹429,₹599,Amazon Fashion.csv
"Signoraware Fliptop 500ml Bpa Free Water Bottles Set of 3, Food Grade, Freezer Safe, Ideal for Office Gym School College T... stores Amazon Fashion","Signoraware Fliptop 500ml Bpa Free Water Bottles Set of 3, Food Grade, Freezer Safe, Ideal for Office Gym School College T...",4.2,494,₹249,₹294,Amazon Fashion.csv
Giva 925 Silver Star Constellation Necklace | Necklace To Gift Women & Girls | With Certificate Of Authenticity And 925 St... stores Amazon Fashion,Giva 925 Silver Star Constellation Necklace | Necklace To Gift Women & Girls | With Certificate Of Authenticity And 925 St...,4.0,55,"₹1,519","₹2,799",Amazon Fashion.csv
Centrino Men's 3363-24 Uniform Dress Shoe stores Amazon Fashion,Centrino Men's 3363-24 Uniform Dress Shoe,3.8,"1,989",₹699,"₹2,199",Amazon Fashion.csv
KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 1} stores Amazon Fashion,KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 1},,,₹499,₹599,Amazon Fashion.csv
"V-Guard Mini Crystal Supreme TV Stabilizer for up to 82 cm (32"") TV + Set Top Box (Working Range: 90-290 VAC; 1.3 A) stores Amazon Fashion","V-Guard Mini Crystal Supreme TV Stabilizer for up to 82 cm (32"") TV + Set Top Box (Working Range: 90-290 VAC; 1.3 A)",4.4,"10,687","₹1,795","₹2,290",Amazon Fashion.csv
TIMEX Analog Silver Dial Men's Watch-TW0TG6502 stores Amazon Fashion,TIMEX Analog Silver Dial Men's Watch-TW0TG6502,4.2,111,"₹1,629","₹2,495",Amazon Fashion.csv
Amazon Brand - Symbol Women's Cotton Solid Hipster Briefs (Pack of 4) stores Amazon Fashion,Amazon Brand - Symbol Women's Cotton Solid Hipster Briefs (Pack of 4),,,₹279,₹899,Amazon Fashion.csv
FURN ASPIRE Toilet Side Cabinet Bathroom Storage Rack Living Room Rack Waterproof Storage Cabinet Wooden Plastic Composite... stores Amazon Fashion,FURN ASPIRE Toilet Side Cabinet Bathroom Storage Rack Living Room Rack Waterproof Storage Cabinet Wooden Plastic Composite...,3.9,771,"₹1,024","₹1,499",Amazon Fashion.csv
"Birthday Gift Combo for Women and Girls 2 Hair Scrunchies, 1 Rainbow Charm Chain, 1 Bookmark, 1 Happy Birthday Card, 1 Don... stores Amazon Fashion","Birthday Gift Combo for Women and Girls 2 Hair Scrunchies, 1 Rainbow Charm Chain, 1 Bookmark, 1 Happy Birthday Card, 1 Don...",4.0,9,₹399,₹999,Amazon Fashion.csv
PARAGON SLICKERS Comfort Trendy Men's Mustard Sandals stores Amazon Fashion,PARAGON SLICKERS Comfort Trendy Men's Mustard Sandals,4.2,872,₹391,₹489,Amazon Fashion.csv
"Homemade Organic Fertilizer Organic & Natural Plant Nutrient Cow Manure, Vermicompost Fertilizer (10 kg) stores Amazon Fashion","Homemade Organic Fertilizer Organic & Natural Plant Nutrient Cow Manure, Vermicompost Fertilizer (10 kg)",3.3,"1,714",₹165,₹500,Amazon Fashion.csv
N2S NEXT2SKIN Women's Ankle Length Cotton Socks-Pack of 3 Pairs stores Amazon Fashion,N2S NEXT2SKIN Women's Ankle Length Cotton Socks-Pack of 3 Pairs,4.2,473,₹299,₹315,Amazon Fashion.csv
Titan Modern Bandhan Analog Blue Dial Unisex's Watch-NM17342569KM01 / NL17342569KM01 stores Amazon Fashion,Titan Modern Bandhan Analog Blue Dial Unisex's Watch-NM17342569KM01 / NL17342569KM01,4.1,56,"₹7,483","₹10,690",Amazon Fashion.csv
Mamaearth Anti-Pollution Daily Face Cream for Dry & Oily Skin with Turmeric & Pollustop® For a Bright Glowing Skin 80ml stores Amazon Fashion,Mamaearth Anti-Pollution Daily Face Cream for Dry & Oily Skin with Turmeric & Pollustop® For a Bright Glowing Skin 80ml,3.9,"4,294",₹324,₹349,Amazon Fashion.csv
Shining Diva Fashion Latest Stylish Traditional Oxidised Silver Necklace Jewellery Set for Women (13174s) stores Amazon Fashion,Shining Diva Fashion Latest Stylish Traditional Oxidised Silver Necklace Jewellery Set for Women (13174s),4.4,8,₹219,"₹1,999",Amazon Fashion.csv
KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 2} stores Amazon Fashion,KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 2},,,₹849,₹899,Amazon Fashion.csv
VIV Men's Open Back Half Sandals stores Amazon Fashion,VIV Men's Open Back Half Sandals,3.4,741,₹849,"₹1,599",Amazon Fashion.csv
"Prestige Nakshatra Plus Svachh Hard Anodised Spillage Control Handi Pressure Cooker, 3 L (Black) stores Amazon Fashion","Prestige Nakshatra Plus Svachh Hard Anodised Spillage Control Handi Pressure Cooker, 3 L (Black)",4.2,"7,744","₹1,837","₹1,960",Amazon Fashion.csv
Women's Cotton Half Padded Non Wired Bra and Panty Set (Pack of 3) stores Amazon Fashion,Women's Cotton Half Padded Non Wired Bra and Panty Set (Pack of 3),3.7,228,₹460,₹999,Amazon Fashion.csv
SKYBAGS Astro Space Theme Black School Backpack 32L stores Amazon Fashion,SKYBAGS Astro Space Theme Black School Backpack 32L,4.5,110,,,Amazon Fashion.csv
TIMEX E-Class Analog Blue Dial Women's Watch-TW000X210 stores Amazon Fashion,TIMEX E-Class Analog Blue Dial Women's Watch-TW000X210,4.3,425,"₹2,899","₹4,595",Amazon Fashion.csv
"SILVESTO INDIA No Metal Stamp Gemstone Silver Plated Red Quartz Earrings For Women's, Red stores Amazon Fashion","SILVESTO INDIA No Metal Stamp Gemstone Silver Plated Red Quartz Earrings For Women's, Red",3.9,322,₹360,₹720,Amazon Fashion.csv
Motul 104103 7100 4T Fully Synthetic 20W-50 Petrol Engine Oil for Bikes (1 L) stores Amazon Fashion,Motul 104103 7100 4T Fully Synthetic 20W-50 Petrol Engine Oil for Bikes (1 L),4.5,"9,596",,₹820,Amazon Fashion.csv
"Kraasa Men Slip-On Formals, Office Wear, Dress Up Shoes stores Amazon Fashion","Kraasa Men Slip-On Formals, Office Wear, Dress Up Shoes",3.6,"1,931",₹449,₹999,Amazon Fashion.csv
Aristrocrat 15 ltrs (41 Cms) backpack(BPDRPKETEL_teal) stores Amazon Fashion,Aristrocrat 15 ltrs (41 Cms) backpack(BPDRPKETEL_teal),3.8,16,₹434,"₹1,240",Amazon Fashion.csv
"Lotus Herbals Whiteglow Skin Whitening And Brightening Massage Creme, 60g stores Amazon Fashion","Lotus Herbals Whiteglow Skin Whitening And Brightening Massage Creme, 60g",4.2,"2,071",₹323,₹430,Amazon Fashion.csv
KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 3} stores Amazon Fashion,KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 3},,,"₹1,249","₹1,299",Amazon Fashion.csv
"Meyaar Stainless Steel Magnetic Band Only Compatible With boAt Xtend Smartwatch, Mesh Strap with Adjustable Loop, Metal Wr... stores Amazon Fashion","Meyaar Stainless Steel Magnetic Band Only Compatible With boAt Xtend Smartwatch, Mesh Strap with Adjustable Loop, Metal Wr...",4.0,14,₹399,₹999,Amazon Fashion.csv
"QUIFF NEW* Rose Flower Hair Clips (Pack of 6) || Birthday Gifts || Hair Accessories for kids, Girls, Women (Multicolour) stores Amazon Fashion","QUIFF NEW* Rose Flower Hair Clips (Pack of 6) || Birthday Gifts || Hair Accessories for kids, Girls, Women (Multicolour)",3.9,72,₹294,₹999,Amazon Fashion.csv
BALENZIA Cushioned High Ankle Sports Socks for Men (Free Size) Made with 100% Combed Cotton & Spandex– Pack of 6 (Multi Co... stores Amazon Fashion,BALENZIA Cushioned High Ankle Sports Socks for Men (Free Size) Made with 100% Combed Cotton & Spandex– Pack of 6 (Multi Co...,4.0,474,₹449,₹899,Amazon Fashion.csv
Red Tape Men Dress Shoes stores Amazon Fashion,Red Tape Men Dress Shoes,3.6,20,"₹1,797","₹5,999",Amazon Fashion.csv
"NIVEA Waterlily and Oil Shower Gel, 250ml (Pack of 3) stores Amazon Fashion","NIVEA Waterlily and Oil Shower Gel, 250ml (Pack of 3)",4.4,"6,499",₹454,₹777,Amazon Fashion.csv
Casio Analog Black Dial Men's Watch-EFV-550L-1AVUDF stores Amazon Fashion,Casio Analog Black Dial Men's Watch-EFV-550L-1AVUDF,4.5,9,"₹8,396","₹10,495",Amazon Fashion.csv
NEVER LOSE Mens 2 Pack Polyester Yoga Short Men Summer Running Gym Sports Shorts with Pockets Shorts for Men stores Amazon Fashion,NEVER LOSE Mens 2 Pack Polyester Yoga Short Men Summer Running Gym Sports Shorts with Pockets Shorts for Men,3.6,361,₹719,"₹1,499",Amazon Fashion.csv
NAITIK CREATION Plastic Adjustable 4 Rod Bangle Box for Women | Chudi Set Organizer Jewellery Storage Display Box | for Ba... stores Amazon Fashion,NAITIK CREATION Plastic Adjustable 4 Rod Bangle Box for Women | Chudi Set Organizer Jewellery Storage Display Box | for Ba...,5.0,2,₹699,"₹1,999",Amazon Fashion.csv
Prima Detachable Baby Desk Plastic Chair 130 | Swings | High Chair | Eating | Feeding | Study | Kids | Toddlers Booster Se... stores Amazon Fashion,Prima Detachable Baby Desk Plastic Chair 130 | Swings | High Chair | Eating | Feeding | Study | Kids | Toddlers Booster Se...,4.4,"4,358",₹913,"₹1,110",Amazon Fashion.csv
BATA womens Galaxy E Slipper stores Amazon Fashion,BATA womens Galaxy E Slipper,4.1,871,₹379,₹799,Amazon Fashion.csv
"NISUN 8 Slot Metal RFID Blocking Credit Debit Card Holder Wallet for Men & Women (Black, 9.5 x 6.7 x 1.5 cm) stores Amazon Fashion","NISUN 8 Slot Metal RFID Blocking Credit Debit Card Holder Wallet for Men & Women (Black, 9.5 x 6.7 x 1.5 cm)",4.1,486,₹449,"₹1,499",Amazon Fashion.csv
KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 1} stores Amazon Fashion,KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 1},,,₹499,₹599,Amazon Fashion.csv
"NIVEA Body Lotion, Nourishing Body Milk, For Very Dry Skin, 120ml stores Amazon Fashion","NIVEA Body Lotion, Nourishing Body Milk, For Very Dry Skin, 120ml",4.4,684,₹83,₹99,Amazon Fashion.csv
Niren Enterprise Girls GREEN CAT FROCK stores Amazon Fashion,Niren Enterprise Girls GREEN CAT FROCK,5.0,4,₹499,"₹1,999",Amazon Fashion.csv
Tommy Hilfiger Analog Blue Dial Men's Watch-TH1791399 stores Amazon Fashion,Tommy Hilfiger Analog Blue Dial Men's Watch-TH1791399,4.1,27,"₹12,495","₹13,750",Amazon Fashion.csv
"Generic Kida Colourful Unicorn Adjustable Bracelet For Girls, Pink stores Amazon Fashion","Generic Kida Colourful Unicorn Adjustable Bracelet For Girls, Pink",3.9,96,₹177,₹599,Amazon Fashion.csv
Trezop Heel Shoe Inserts – High Heel Gel Cushion Insole Insert Pads (Black) stores Amazon Fashion,Trezop Heel Shoe Inserts – High Heel Gel Cushion Insole Insert Pads (Black),3.9,82,₹349,₹999,Amazon Fashion.csv
American Tourister SPIN LAPTOP BACKPACK 28L POLYESTER BLACK stores Amazon Fashion,American Tourister SPIN LAPTOP BACKPACK 28L POLYESTER BLACK,3.0,3,"₹1,399","₹2,780",Amazon Fashion.csv
INNOVQARAJ Bike HSRP | IND Number Plate Frame | Cover (Standard Size for All Bikes) stores Amazon Fashion,INNOVQARAJ Bike HSRP | IND Number Plate Frame | Cover (Standard Size for All Bikes),3.6,826,₹146,₹499,Amazon Fashion.csv
NIBOSI Women Watches Rose Gold Analog Wrist Watch with Diamond Dail Ladies Watch for Women&Girls Fashion Stylish stores Amazon Fashion,NIBOSI Women Watches Rose Gold Analog Wrist Watch with Diamond Dail Ladies Watch for Women&Girls Fashion Stylish,4.4,10,₹999,"₹3,000",Amazon Fashion.csv
Baskety Silicone Spatulas Heat Resistant Flexible Spatula 450F with Stainless Steel Core - FDA Grade Premium Kitchen Utens... stores Amazon Fashion,Baskety Silicone Spatulas Heat Resistant Flexible Spatula 450F with Stainless Steel Core - FDA Grade Premium Kitchen Utens...,4.5,"2,642",₹284.05,₹699,Amazon Fashion.csv
Fossil Everett Analog Grey Dial Men's Watch-FS5799 stores Amazon Fashion,Fossil Everett Analog Grey Dial Men's Watch-FS5799,4.2,59,"₹6,872","₹12,495",Amazon Fashion.csv
NAITIK CREATION Plastic Adjustable 4 Rod Bangle Box for Women | Chudi Set Organizer Jewellery Storage Display Box | for Ba... stores Amazon Fashion,NAITIK CREATION Plastic Adjustable 4 Rod Bangle Box for Women | Chudi Set Organizer Jewellery Storage Display Box | for Ba...,5.0,2,₹699,"₹1,999",Amazon Fashion.csv
"Yardley English Rose Moisturising Body Lotion for Women, 350ml + 50ml (400ml) stores Amazon Fashion","Yardley English Rose Moisturising Body Lotion for Women, 350ml + 50ml (400ml)",4.0,192,₹169,₹425,Amazon Fashion.csv
Cute Critters Pinhole Glasses Uniisex Vision Care Anti-Myopia Eye Exercise Improver Glasses Eyesight Natural Stenopeic Ant... stores Amazon Fashion,Cute Critters Pinhole Glasses Uniisex Vision Care Anti-Myopia Eye Exercise Improver Glasses Eyesight Natural Stenopeic Ant...,3.6,219,₹288,₹599,Amazon Fashion.csv
"NIKMAY CREATION Oxford Fabric Large Capacity Folding Waterproof Large Capacity Foldable Travel Bag for Travel Sports, Gym,... stores Amazon Fashion","NIKMAY CREATION Oxford Fabric Large Capacity Folding Waterproof Large Capacity Foldable Travel Bag for Travel Sports, Gym,...",5.0,2,₹439,₹999,Amazon Fashion.csv
Nike Womens WMNS Downshifter 11 Running stores Amazon Fashion,Nike Womens WMNS Downshifter 11 Running,5.0,2,"₹2,796","₹3,995",Amazon Fashion.csv
KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 5} stores Amazon Fashion,KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 5},,,"₹1,849","₹1,949",Amazon Fashion.csv
Taparia 1986 Steel (150mm) Centre Punch Drift Punch (Grey) stores Amazon Fashion,Taparia 1986 Steel (150mm) Centre Punch Drift Punch (Grey),4.3,"3,109",,₹85,Amazon Fashion.csv
"Everhype Watch Straps Storage Case Organizer Stores - 16 Straps Compatible with Apple Watch Bands, Android Watch, All Smar... stores Amazon Fashion","Everhype Watch Straps Storage Case Organizer Stores - 16 Straps Compatible with Apple Watch Bands, Android Watch, All Smar...",4.3,5,₹999,"₹2,999",Amazon Fashion.csv
"Generic Kida Colourful Unicorn Adjustable Bracelet For Girls, Pink stores Amazon Fashion","Generic Kida Colourful Unicorn Adjustable Bracelet For Girls, Pink",3.9,96,₹177,₹599,Amazon Fashion.csv
AV2 Women's Cotton Floral Maxi Maternity/Feeding Nighty stores Amazon Fashion,AV2 Women's Cotton Floral Maxi Maternity/Feeding Nighty,4.1,645,₹484,"₹1,399",Amazon Fashion.csv
Mamaearth Glow Serum Foundation Lotion with Vitamin C and Turmeric for 12-Hour Long Stay- 05 Beige Glow - 30 ml Dewy Finish stores Amazon Fashion,Mamaearth Glow Serum Foundation Lotion with Vitamin C and Turmeric for 12-Hour Long Stay- 05 Beige Glow - 30 ml Dewy Finish,4.1,"1,902",₹526,₹599,Amazon Fashion.csv
"ZONVER® Sports Insole PU Foam Insole Cushion Sports Insole Shoe Pads,Walking, Running, Hiking Insoles Massaging Shoe Inser... stores Amazon Fashion","ZONVER® Sports Insole PU Foam Insole Cushion Sports Insole Shoe Pads,Walking, Running, Hiking Insoles Massaging Shoe Inser...",4.2,125,₹275,₹799,Amazon Fashion.csv
Nilkamal Centbl5 Contemporary Center Trolley Coffee Table/Tea Table/Teapoy For Home/Living Room/Office & Outdoor.(Plastic) stores Amazon Fashion,Nilkamal Centbl5 Contemporary Center Trolley Coffee Table/Tea Table/Teapoy For Home/Living Room/Office & Outdoor.(Plastic),4.0,"1,829","₹1,199","₹1,700",Amazon Fashion.csv
DREALEX Classy Casual Analog Women's Watch (Teal) stores Amazon Fashion,DREALEX Classy Casual Analog Women's Watch (Teal),3.1,14,₹249,₹899,Amazon Fashion.csv
TEMPERIA Hair Accessories For Women & Girls Stylish for Wedding - Artificial Flowers & Pearl Style Juda Bun Accessories - ... stores Amazon Fashion,TEMPERIA Hair Accessories For Women & Girls Stylish for Wedding - Artificial Flowers & Pearl Style Juda Bun Accessories - ...,4.5,2,₹217,₹599,Amazon Fashion.csv
"R for Rabbit Caramello Bliss Diaper Bag for Mother, Multipurpose Stylish Diaper Bag, Waterproof Maternity Backpacks, Nursi... stores Amazon Fashion","R for Rabbit Caramello Bliss Diaper Bag for Mother, Multipurpose Stylish Diaper Bag, Waterproof Maternity Backpacks, Nursi...",4.4,47,"₹2,199","₹2,997",Amazon Fashion.csv
"DHRUVI TRENDZ Women's Plain Lycra with Dori Design on Half-Sleeve Regular Fit Office wear,Casual wear Top stores Amazon Fashion","DHRUVI TRENDZ Women's Plain Lycra with Dori Design on Half-Sleeve Regular Fit Office wear,Casual wear Top",3.8,"9,908",₹269,"₹1,999",Amazon Fashion.csv
"Beardo Body Acne Body Wash for Men 200 ml | With Salicylic Acid, Neem, and Tea Tree | Clean Clear Skin | For Body Acne and... stores Amazon Fashion","Beardo Body Acne Body Wash for Men 200 ml | With Salicylic Acid, Neem, and Tea Tree | Clean Clear Skin | For Body Acne and...",4.2,302,₹224,₹299,Amazon Fashion.csv
KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 4} stores Amazon Fashion,KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 4},,,"₹1,599","₹1,649",Amazon Fashion.csv
DailyObjects Leather Women Men's Wallet(Lush Midnight) stores Amazon Fashion,DailyObjects Leather Women Men's Wallet(Lush Midnight),3.8,157,₹499,₹999,Amazon Fashion.csv
Timex Fashion Analog Multi-Color Dial Men's Watch-TI000U90100 stores Amazon Fashion,Timex Fashion Analog Multi-Color Dial Men's Watch-TI000U90100,4.0,"1,296","₹2,109","₹3,395",Amazon Fashion.csv
VOYLLA Silver Brass Bagh E Fiza Metal Embellishments Earrings for women stores Amazon Fashion,VOYLLA Silver Brass Bagh E Fiza Metal Embellishments Earrings for women,4.0,30,₹280,₹749,Amazon Fashion.csv
"Nit Free Terminator Lice Comb, Professional Stainless Steel Louse and Nit Comb for Head Lice Treatment, Removes Nit stores Amazon Fashion","Nit Free Terminator Lice Comb, Professional Stainless Steel Louse and Nit Comb for Head Lice Treatment, Removes Nit",4.5,"14,034",₹999,"₹1,815",Amazon Fashion.csv
Anand Sarees Women's Saree With Blouse Piece stores Amazon Fashion,Anand Sarees Women's Saree With Blouse Piece,3.7,835,₹288,"₹1,999",Amazon Fashion.csv
BATA Womens Selah Sneaker stores Amazon Fashion,BATA Womens Selah Sneaker,3.8,49,₹591,₹799,Amazon Fashion.csv
"WAVEX Windshield Washer Fluid, WWF500 Concentrate 100ml Per Use (500ml) stores Amazon Fashion","WAVEX Windshield Washer Fluid, WWF500 Concentrate 100ml Per Use (500ml)",4.1,"1,587",₹340,₹352,Amazon Fashion.csv
Titan Analog Silver Dial Men's Watch-1864SL07 stores Amazon Fashion,Titan Analog Silver Dial Men's Watch-1864SL07,5.0,3,"₹1,149","₹2,895",Amazon Fashion.csv
YouBella Jewellery Traditional Gold Plated Pearl Studded Bracelet Bangles Set for Girls and Women stores Amazon Fashion,YouBella Jewellery Traditional Gold Plated Pearl Studded Bracelet Bangles Set for Girls and Women,3.9,830,₹320,"₹1,999",Amazon Fashion.csv
Lavie Sport Jarvis Laptop Backpack for Men & Women | College Bags for Girls & Boys | Laptop Sleeve stores Amazon Fashion,Lavie Sport Jarvis Laptop Backpack for Men & Women | College Bags for Girls & Boys | Laptop Sleeve,4.2,548,₹939,"₹2,990",Amazon Fashion.csv
Puma Men Cotton Cap (Pack of)(052919 01_Adult_Black_Free Size) stores Amazon Fashion,Puma Men Cotton Cap (Pack of)(052919 01_Adult_Black_Free Size),4.4,"1,279",₹389,₹599,Amazon Fashion.csv
Kofy Gas Can Lighter Re-filler 500 Ml with 6 Nozzles-Red stores Amazon Fashion,Kofy Gas Can Lighter Re-filler 500 Ml with 6 Nozzles-Red,3.9,"2,840",₹150,₹275,Amazon Fashion.csv
KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 3} stores Amazon Fashion,KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 3},,,"₹1,249","₹1,299",Amazon Fashion.csv
Ajanta Quartz Women's Stainless Steel Bracelet Watch stores Amazon Fashion,Ajanta Quartz Women's Stainless Steel Bracelet Watch,4.2,274,"₹1,295","₹2,395",Amazon Fashion.csv
"Shining Diva Fashion Stylish Multilayer Chain Pendant Necklace for Women and Girls (12451np), gold stores Amazon Fashion","Shining Diva Fashion Stylish Multilayer Chain Pendant Necklace for Women and Girls (12451np), gold",3.8,154,₹182.70,"₹1,499",Amazon Fashion.csv
Rozia Pro Hair Brush Wooden Detangling Brushes Natural Detangler Paddle Hairbrush for Women Men Kids Stimulate Scalp Help ... stores Amazon Fashion,Rozia Pro Hair Brush Wooden Detangling Brushes Natural Detangler Paddle Hairbrush for Women Men Kids Stimulate Scalp Help ...,4.2,"2,198",₹339,₹449,Amazon Fashion.csv
Glamoras Postpartum Recovery Belly Band Waist Trainer Cincher Trimmer Tummy Control Slimming Body Shaper Shapewear Belt (S... stores Amazon Fashion,Glamoras Postpartum Recovery Belly Band Waist Trainer Cincher Trimmer Tummy Control Slimming Body Shaper Shapewear Belt (S...,3.5,"2,026",₹449,"₹1,299",Amazon Fashion.csv
Puma Unisex-Adult Flex Essential Slip on Sneaker stores Amazon Fashion,Puma Unisex-Adult Flex Essential Slip on Sneaker,4.1,781,"₹1,769","₹2,999",Amazon Fashion.csv
SignoraWare Stainless Steel Tumbler with Lid | Air Tight Leak Proof Glass Tumblers for Office Gym Yoga Hiking Trekking Tra... stores Amazon Fashion,SignoraWare Stainless Steel Tumbler with Lid | Air Tight Leak Proof Glass Tumblers for Office Gym Yoga Hiking Trekking Tra...,4.4,"3,977",₹199,₹235,Amazon Fashion.csv
Fastrack Streetwear 2.0 Analog-Digital Gray Dial Men's Watch-38068PP02 stores Amazon Fashion,Fastrack Streetwear 2.0 Analog-Digital Gray Dial Men's Watch-38068PP02,4.3,32,,"₹1,795",Amazon Fashion.csv
