text,name,ratings,no_of_ratings,discount_price,actual_price,category_source
"Beardo Beard & Hair Growth Oil for thicker, longer beard | For patchy, uneven beard | Beard Oil for fast beard growth | Na... stores Amazon Fashion","Beardo Beard & Hair Growth Oil for thicker, longer beard | For patchy, uneven beard | Beard Oil for fast beard growth | Na...",3.7,"25,616",₹510,₹750,Amazon Fashion.csv
"Tote Bag, Backpack Bag Home Storage Tool Large Capacity for Birthdays(AA802) stores Amazon Fashion","Tote Bag, Backpack Bag Home Storage Tool Large Capacity for Birthdays(AA802)",,,"₹1,979","₹3,958",Amazon Fashion.csv
Very First Sight Words Sentences Level 1 stores Amazon Fashion,Very First Sight Words Sentences Level 1,4.5,"11,206",₹140,₹200,Amazon Fashion.csv
Razer Anzu Smart Glasses: Blue Light Filtering & Polarized Sunglass Lenses - Low Latency Audio - Built-in Mic & Speakers -... stores Amazon Fashion,Razer Anzu Smart Glasses: Blue Light Filtering & Polarized Sunglass Lenses - Low Latency Audio - Built-in Mic & Speakers -...,3.9,68,"₹4,499","₹29,990",Amazon Fashion.csv
Urban Forest Oliver Redwood RFID Blocking Leather Wallet for Men stores Amazon Fashion,Urban Forest Oliver Redwood RFID Blocking Leather Wallet for Men,4.3,"40,140",₹499,"₹2,000",Amazon Fashion.csv
ANZAILALA Ring Size Adjuster for Loose Rings - 4 Sizes Clear Ring Sizer Resizer Fit Spiral Silicone Tightener Set(4 Pcs) stores Amazon Fashion,ANZAILALA Ring Size Adjuster for Loose Rings - 4 Sizes Clear Ring Sizer Resizer Fit Spiral Silicone Tightener Set(4 Pcs),4.2,305,₹259,₹999,Amazon Fashion.csv
Cherry Blossom Wax Shoe Polish Black - 40gm | Leather Shoe Shiner stores Amazon Fashion,Cherry Blossom Wax Shoe Polish Black - 40gm | Leather Shoe Shiner,4.3,"1,552",₹64.60,₹76,Amazon Fashion.csv
Bella Vita Luxury Women's Perfume Gift Set 4x20 ML | Luxury Scent with Long Lasting Fragrance Eau De Parfum | CEO Woman | ... stores Amazon Fashion,Bella Vita Luxury Women's Perfume Gift Set 4x20 ML | Luxury Scent with Long Lasting Fragrance Eau De Parfum | CEO Woman | ...,4.2,"5,503",₹551,₹849,Amazon Fashion.csv
"Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, maki... stores Amazon Fashion","Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, maki...",3.9,"129,025",₹599,"₹1,245",Amazon Fashion.csv
Blossom Moral Story Book for Kids 3 Years to 6 Years Old in English | 31 Fairy Tale Stories with Colourful Pictures | Best... stores Amazon Fashion,Blossom Moral Story Book for Kids 3 Years to 6 Years Old in English | 31 Fairy Tale Stories with Colourful Pictures | Best...,4.4,"2,431",₹75,₹80,Amazon Fashion.csv
